1;1;1;45;625
2;1;1;175;625
3;1;1;275;625
4;1;1;375;625
5;3;9;480;625
6;3;12;583;625
7;1;1;690;625
8;1;1;800;625
9;3;14;805;525
10;1;1;805;435
11;1;1;805;345
12;3;6;805;255
13;1;1;805;165
14;3;18;805;50
15;1;1;715;20
16;1;1;633;20
17;1;1;540;20
18;3;23;435;20
19;2;1;335;20
20;1;1;235;20
21;1;1;135;20
22;1;1;30;20
23;3;27;25;120
24;1;1;25;215
25;1;1;25;305
26;3;53;25;395
27;3;32;25;515
28;1;1;175;537
29;1;1;275;540
30;1;1;380;540
31;2;2;480;540
32;3;36;600;540
33;1;1;712;535
34;1;1;712;445
35;1;1;712;368
36;3;41;712;290
37;1;1;712;212
38;1;1;700;110
39;1;1;575;110
40;1;1;480;108
41;3;45;392;108
42;2;2;304;108
43;1;1;220;108
44;1;1;125;108
45;3;50;123;197
46;1;1;123;278
47;1;1;123;356
48;1;1;123;445
49;1;1;220;450
50;3;54;310;452
51;1;1;400;452
52;2;3;500;452
53;3;26;605;452
54;3;59;605;367
55;1;1;605;285
56;1;1;600;200
57;1;1;490;195
58;3;1;396;195
59;3;63;308;195
60;1;1;220;205
61;1;1;220;290
62;1;1;220;367
63;2;3;355;330
